,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Annual Change
Arizona,1.3,1,1,1,1.1,1.3,1.1,1,1.2,1.5,1.7,2.6,3.6,3.6,3.9,0.2
Arkansas,null,null,null,null,null,0.4,0.9,0.4,0.7,1,1.3,1.4,2.2,2.7,2.6,0.3
California,1.2,1.2,1.2,null,1.1,1.1,1.1,1,1,1.1,1.2,1.3,1.3,null,null,null
Colorado,0.4,0.6,0.6,0.7,0.6,0.9,0.9,0.9,1.3,1.3,1.4,2.3,2.5,2.8,2.9,0.2
Florida,0.4,0.4,0.5,0.6,0.7,0.7,0.9,1.3,1.7,2.3,3.4,4.9,5.9,5.9,6.3,0.6
Hawaii,null,0.1,0.4,0.1,0.4,0.6,null,0.6,0.5,0.7,0.5,0.7,0.8,0.8,0.7,0.05
Iowa,0.3,0.4,0.3,0.5,0.6,0.4,0.4,0.5,0.6,0.7,0.8,1.1,1.3,1.9,2.2,0.1
Kentucky,null,0.4,0.9,1.3,2,2.4,2.5,3.3,3.8,4.7,6.4,7.8,10.5,12.3,15,1.3
Maine,1.1,0.9,2,3,5.2,null,null,null,12.6,15.5,19,21.5,21.3,30.4,null,3
Maryland,7.6,6.5,7.1,6.7,6.3,6.2,6.6,6.6,6.5,7.1,8.2,9.5,10.6,11.4,null,0.3
Massachusetts,2.2,2.5,2.7,2.6,2.9,3.8,4.4,5,6.1,6.7,8.5,10,10.8,12.5,null,0.9
Michigan,null,0.4,0.5,0.6,0.8,0.9,1.2,1.2,1.7,2,2.9,3.6,5,5.4,6.7,0.6
Mississippi,null,null,null,null,null,null,null,null,null,null,null,1.2,1.3,null,null,null
Nebraska,null,null,0.2,0.1,0.3,0.2,0.7,0.4,0.2,0.4,0.7,1,0.8,1.4,1.6,0.1
Nevada,null,null,null,1.1,0.8,1.3,1.5,1.2,1.3,1.6,2,3,3.3,5,4.8,0.4
New Jersey,3.3,3.2,3.5,3,3.1,2.6,2.9,2.5,2.7,2.8,3.4,4.1,4.6,5,5.2,0.1
New Mexico,null,null,null,null,null,null,null,null,null,null,3.7,4.2,5.8,7.8,8.5,1.5
New York,1.4,1.5,1.3,1.2,1.2,1.3,1.2,1.2,1.4,1.5,1.8,1.9,2.6,2.8,3.6,0.1
North Carolina,null,0.3,0.4,0.7,0.7,0.9,1.3,1.3,1.6,1.7,2.7,3.5,4.2,5.3,6.4,0.6
Oregon,1,1,1.2,1.5,1.3,2.1,2.1,2,2,2.3,2.9,3.7,4.4,4.5,5,0.3
Rhode Island,null,null,null,2.8,3.3,3.5,4.6,3.4,5.1,5.6,6,5.8,8.1,7.3,null,0.5
South Carolina,1.3,0.9,0.6,0.4,0.7,1.1,1.1,1.5,1.3,1.5,1.9,2.2,2.7,3.3,3.9,0.2
South Dakota,null,null,null,null,null,null,null,null,0.2,0.9,0.8,1,1.3,0.8,0.8,null
Utah,null,0.8,0.9,1.3,1,1.3,2,1.9,2.3,2.5,2.5,3.5,4.1,null,null,0.3
Vermont,null,null,0.7,2.7,3.7,4.1,8.1,9.1,12.5,15.8,20.9,25.3,26.2,30.5,33.3,3.6
Washington,1.5,1.3,1.6,1.7,2.1,2.7,3.5,3.4,3.2,3.6,4.5,5.6,6.7,6.9,7.9,0.5
West Virginia,null,0.5,1,1.7,3.3,3.4,6.9,7.1,7.5,10.2,11,14.2,16.9,21.7,33.4,2.7
Wisconsin,0.4,0.4,0.3,0.5,0.6,1.1,0.9,1.7,1.9,2.5,2.9,4.1,5.5,5.7,7.9,0.7