state,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,annual_change
national,1.5,1.1,1,1.2,1.2,1.4,1.6,2.1,2.1,2.4,2.9,3.9,3.9,4.9,5.7,6.5,0.39
Arizona,1.1,1,1.3,1.1,1.2,1.1,1.5,1.1,1.4,1.2,1.9,2.1,3,3.5,4.7,5.2,0.28
Arkansas,—,—,—,—,—,0.4,0.6,0.8,0.7,1.1,1.2,1,1.6,1.9,2.6,2.5,0.25
California,1.2,1,1.2,—,1.1,1.1,1,1.1,1,1.1,1.2,1.3,1.6,—,—,—,0.01
Colorado,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8,1,1.1,1.2,1.6,1.8,2.1,2.9,3.6,0.2
District of Columbia,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.6,0.7,—**
Florida,0.5,0.5,0.5,0.6,0.7,0.9,1,1.2,1.6,2.1,3,4.1,5.1,5.6,6.3,6.6,0.58
Georgia,—,—,—,—,—,—,—,—,—,—,—,—,—,2,2.4,2.7,0.39
Hawaii,—,0.6,0.6,0.5,0.5,0.5,0.3,1,0.4,0.8,0.7,0.5,0.9,1.1,1.3,2.4,0.09
Iowa,0.1,0.2,0,0,0.1,0.2,0.2,0.2,0.2,0.4,0.5,0.6,0.8,1.2,1.4,1.3,0.1
Kentucky,—,0.4,0.9,1.6,2.4,2.5,3.1,3.9,4,5.1,6.1,7.2,9.5,14,15.7,19.3,1.55
Maine,0.7,0.6,1.5,2.3,4,—,—,9.4,10.7,13.5,21.7,26.2,27.8,34.1,—,—,4.13
Maryland,8.2,6.7,7.6,7.4,7.5,7.5,7.6,7.6,7.1,6.9,7.7,8.8,9.1,10.9,11.8,11.7,0.27
Massachusetts,2,2.7,2.4,2.6,2.9,3.7,4.6,4.9,6.5,6.9,8.3,8.8,9.6,12.2,13.1,—,0.9
Michigan,—,1,0.9,1.1,1.1,1.3,1.6,1.7,2.3,2.9,3.3,4.2,5.1,5.4,6.2,7.7,0.55
Minnesota,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4.4,—**
Mississippi,—,—,—,—,—,—,—,—,—,—,—,1.9,1.6,—,—,—,—**
Nebraska,—,—,0.2,0.1,0.1,0.4,0.4,0.2,0.2,0.4,0.3,0.2,0.3,1.1,0.9,1.2,0.08
Nevada,—,—,—,0.6,0.6,1.2,1.1,1.1,1,1.3,1.7,2,2.3,3.1,3.4,4.5,0.33
New Jersey,4.1,4.3,4,3.8,4,3.4,4,3.3,3.5,3.6,4.1,4.5,4.5,5,5.3,5.6,0.08
New Mexico,—,—,—,—,—,—,—,—,—,3.8,3.9,5.5,7.6,10.6,13.6,14.8,2.47
New York,1.6,1.5,1.4,1.5,1.6,1.6,1.4,1.6,1.7,1.9,2.1,2.3,3,3.1,4.2,4.9,0.2
North Carolina,—,0.2,0.3,0.6,0.7,0.7,1.1,1.3,1.3,1.8,2.5,2.8,3.7,4.9,6.4,7.8,0.64
Oregon,1.2,0.9,1.5,1.7,1.4,1.8,2.1,2.5,2.1,2.7,3.8,4.4,4.4,5.7,6.9,8.4,0.49
Rhode Island,—,—,—,4.1,3.3,4.3,4.3,3.1,4,3.8,4.9,6.1,7.4,7.2,8,10.2,0.51
South Carolina,0.4,0.3,0.3,0.2,0.4,0.5,1,1.1,1.2,1.3,1.9,2.2,2.8,3.3,4.4,—,0.34
South Dakota,—,—,—,—,—,—,—,—,0.1,0.3,0,0.5,0.8,0.8,1.2,1.5,0.29
Utah,—,0.4,0.4,0.5,0.6,0.8,0.9,1.3,1.1,1.4,2,2.3,2,2.6,2.7,3.7,0.25
Vermont,—,—,0.5,2.4,3.7,4,7.6,12.9,14.6,19,28.5,27.1,33.8,43.7,51.1,48.6,5.37
Washington,1.2,0.9,1.1,1.3,1.7,1.9,2.4,2.8,2.6,3.4,4.2,5.3,6.9,7.1,8.5,10.8,0.71
West Virginia,—,0.6,1,1.6,2.3,3,4.2,6.8,7.1,8.2,10.1,11.2,15.3,21.3,29.8,32.1,2.83
Wisconsin,0.3,0.5,0.3,0.5,0.5,0.7,1,1.1,1.4,2,2.8,3.5,4.6,5.6,6.9,7.6,0.65